"placement_day","total_share","Aksessuary_share","Krasota_i_uhod_share","Elektronika_share","Avtotovary_share","Bytovaya_himiya_share","Sport_i_otdyh_share","Hobbi_i_tvorchestvo_share","Stroitelstvo_i_remont_share","Zootovary_share","Bytovaya_tehnika_share","Produkty_pitaniya_share","Detskie_tovary_share","Obuv_share","Zdorovie_share","Safebox_items_share","Knigi_i_kanctovary_share","Tovary_dlya_doma_share","Odezhda_share","Dacha_i_sad_share"
 25/02/2026,57.2,56.0,78.7,13.0,75.2,78.7,51.9,15.5,45.7,89.8,34.8,85.9,56.6,93.9,44.5,5.16,90.7,62.3,96.9,68.0
 26/02/2026,52.2,70.5,75.0,18.9,74.7,71.9,40.0,36.5,46.9,36.3,39.4,91.6,29.9,84.3,43.2,8.97,73.6,42.8,96.7,63.5
 27/02/2026,50.7,57.7,81.3,18.4,60.6,82.2,37.1,31.8,46.4,70.5,26.3,92.9,49.4,92.0,38.3,4.59,70.5,40.0,93.4,21.1
 28/02/2026,52.2,70.2,90.6,18.8,79.0,77.6,51.4,12.3,21.6,63.2,21.3,78.5,29.5,98.8,69.7,9.65,88.5,65.7,97.1,0
 01/03/2026,53.5,61.8,83.0,8.28,83.7,76.7,71.7,14.6,34.2,71.4,12.8,93.2,35.6,85.0,64.2,5.06,81.5,54.2,98.4,33.8
 02/03/2026,56.7,68.4,76.0,14.2,75.5,90.1,67.2,43.3,51.5,55.8,22.6,85.6,38.6,90.1,54.3,7.54,72.8,56.2,91.1,72.8
 03/03/2026,51.4,47.3,80.6,22.6,72.4,37.7,54.0,26.5,30,83.2,40.6,89.1,48.3,88.1,54.4,9.69,83.3,40.8,95.3,24.8
 04/03/2026,54.8,76.1,86.6,13.4,55.7,30.9,61.3,31.2,40.8,93.1,35.9,94.5,54.2,89.5,49.2,9.92,80.5,51.9,92.7,49.5
 05/03/2026,51.7,68.1,73.6,26.9,62.0,73.8,58.1,24.8,23.4,41.2,34.0,77.2,45.1,93.4,74.3,8.87,80.2,40.6,97.2,31.6
 06/03/2026,50.9,65.4,69.1,13.5,55.2,76.5,70.2,50.7,20.9,13.9,59.3,94.2,21.4,92.3,62.9,8,79.6,47.8,95.7,21.9
 07/03/2026,57.7,78.2,86.7,8.83,74.2,92.1,50.1,20.3,45.0,84.3,59.7,87.9,18.1,86.2,76.3,11.4,88.3,45.5,93.6,48.3
 08/03/2026,60.3,76.6,87.3,8.14,82.5,84.7,63.3,40.1,64.3,78.8,55.9,74.9,35.9,95.5,43.6,8.11,82.5,59.7,97.4,66.3
 09/03/2026,57.5,76.4,82.5,15.1,63.2,86.7,61.7,53.5,48.5,89.8,36.7,88.9,36.6,92.2,49.0,7.28,85.7,45.2,98.3,32.7
 10/03/2026,52.7,70.6,88.2,13.1,64.2,28.9,62.8,26.9,37.7,77.7,30.4,89.9,43.6,80.6,73.1,3.46,77.7,68.3,91.5,25.4
 11/03/2026,56.2,66.6,81.9,10.4,85.3,79.1,68.3,54.7,34.3,6.34,57.5,95.9,48.5,92.5,71.1,7.30,75.9,52.9,92.6,42.2
 12/03/2026,58.5,57.7,70.2,19.5,74.8,83.5,78.3,41.9,68.3,49.1,44.6,94.3,36.2,84.1,72.5,11.8,84.8,65.2,91.9,41.6
 13/03/2026,57.5,78.1,82.5,23.5,69.2,81.9,82.1,21.3,69.6,27.9,37.7,84.3,53.5,93.3,48.3,6.36,91.1,66.2,99.8,32.4
 14/03/2026,56.3,70.7,83.4,26.9,77.6,81.8,45.2,16.1,53.1,70.6,26.0,91.0,54.6,76.7,48.9,8.43,75.8,42.3,95.1,81.5
 15/03/2026,55.3,65.4,85.4,17.7,53.4,91.3,50.6,33.7,39.3,89.1,39.0,94.3,26.3,88.3,59.3,6.39,77.2,52.0,97.1,39.7
 16/03/2026,56.4,63.4,88.2,21.6,72.4,76.1,17.3,22.2,46.4,52.4,55.2,92.3,64.8,88.8,70.9,6.18,86.0,59.6,95.2,48.9
 17/03/2026,53.7,78.4,76.9,22.0,81.2,69.7,50.5,32,39.8,45.3,25.9,86.5,54.4,79.7,54.6,4.82,87.1,57.1,89.8,38.0
 18/03/2026,53.6,73.8,78.7,8.79,83.7,64.5,69.8,41.6,28.3,14.6,42.7,85.5,32.8,95.8,69.3,10.1,86.0,43.2,95.5,46.5
 19/03/2026,55.7,66.8,85.5,19.4,66.8,46.6,77.9,31.0,29.9,45.6,60.7,91.1,19.6,88.8,82.3,8.59,81.6,49.2,94.6,67.8
 20/03/2026,57.1,85.4,87.5,34.6,85.3,82.0,85.3,28.4,31.2,18.7,49.3,86.0,36.6,93.6,59.8,8.90,84.9,55.8,98.0,31.6
 21/03/2026,64.9,81.7,86.7,34.6,69.3,92.6,49.8,49.8,48.1,68.7,69.2,91.5,60.2,93.5,74.8,12.1,78.4,63.5,92.5,81.1
 22/03/2026,57.7,63.6,78.8,21.9,88.4,69.1,56.5,52.5,35.9,43.6,27.5,84.4,84.9,88.6,32.0,5.07,89.3,61.3,95.3,75.8
 23/03/2026,56.1,63.6,88.5,14.1,85.5,79.8,47.7,32.6,36.8,69.5,30.3,98.9,16.1,88.1,65.1,8.03,81.0,73.5,96.8,47.1
 24/03/2026,55.4,69,89.1,20.0,90.7,42.0,43.1,19.5,55.9,86.0,19.1,88.9,54.5,94.6,53.0,2.95,92.9,75.2,97.7,13.3
 25/03/2026,66.4,77.3,84.7,56.4,77.6,92.9,68.8,75.4,68.3,14.0,76.0,88.8,86.4,94.9,55.1,4.66,88.8,66.2,92.5,59.0
 26/03/2026,65.3,75.5,71.6,43.5,81.7,95.6,69.2,42.3,34.4,81.9,69.5,84.4,45.0,88.5,83.2,5.50,90.5,76.3,96.9,70.3
